07/25/2017                                                                Dynamic List Display                                                                        1


	Order	Material	Order Type	MRP ctrlr	Pr.Superv.	Plant	Target qty	Unit	Bsc start	Basic fin.	Act. Start	Act.finish	Release	Release	Act.finish	ActStart
	161238324	30279-0301	ZP02	K38	K51	2475	        1	EA	04/27/2017	05/15/2017	05/01/2017	05/08/2017	04/27/2017	04/27/2017	00:00:00	06:02:37
	161245502	30305-0101	ZP02	K38	K63	2475	        1	EA	05/02/2017	05/12/2017	05/04/2017	05/25/2017	04/28/2017	05/02/2017	00:00:00	07:46:29
	161245505	30305-0101	ZP02	K38	K63	2475	        1	EA	04/21/2017	05/12/2017	05/04/2017	05/17/2017	04/28/2017	04/21/2017	00:00:00	10:21:30
	161245518	30190-1410-0301	ZRW2	K38	K51	2475	        1	EA	05/24/2017	05/30/2017	05/09/2017	06/05/2017	04/28/2017	05/24/2017	00:00:00	13:01:56
	161249098	30305-0101	ZP02	K38	K63	2475	        1	EA	04/24/2017	05/15/2017	05/04/2017	05/23/2017	05/01/2017	04/24/2017	00:00:00	12:02:00
	161249100	30305-0101	ZP02	K38	K63	2475	        1	EA	04/25/2017	05/16/2017	05/04/2017	05/23/2017	05/01/2017	04/25/2017	00:00:00	12:51:46
	161249591	30279-0301	ZGRT	K38	K51	2475	        1	EA	05/23/2017	06/01/2017	06/07/2017	06/21/2017	05/01/2017	05/23/2017	00:00:00	12:26:20
	161251319	30279-0301	ZP02	K38	K51	2475	        1	EA	04/28/2017	05/16/2017	05/01/2017	05/11/2017	05/01/2017	04/28/2017	00:00:00	13:02:04
	161254790	30279-0301	ZP02	K38	K51	2475	        1	EA	05/05/2017	05/17/2017	05/02/2017	05/11/2017	05/02/2017	05/05/2017	00:00:00	10:21:46
	161254791	30279-0301	ZP02	K38	K51	2475	        1	EA	05/05/2017	05/18/2017	05/02/2017	05/12/2017	05/02/2017	05/05/2017	00:00:00	13:16:49
	161257291	30190-0304	ZP02	K38	K51	2475	        1	EA	04/28/2017	05/10/2017	05/03/2017	05/15/2017	05/02/2017	04/28/2017	00:00:00	12:51:53
	161261498	30190-1410-0301	ZP02	K38	K51	2475	        1	EA	04/17/2017	04/20/2017	05/06/2017	05/17/2017	05/03/2017	04/17/2017	00:00:00	06:36:30
	161261499	30279-0301	ZP02	K38	K51	2475	        1	EA	05/08/2017	05/19/2017	05/03/2017	05/16/2017	05/03/2017	05/08/2017	00:00:00	12:51:54
	161262428	473131-002	ZP02	K38	K51	2475	        1	EA	04/14/2017	05/08/2017	05/10/2017	06/20/2017	05/03/2017	04/14/2017	00:00:00	13:06:30
	161271753	30277-0402-0201	ZP02	K38	K51	2475	        5	EA	05/05/2017	05/12/2017	05/17/2017	05/18/2017	05/04/2017	05/05/2017	00:00:00	06:36:41
