07/25/2017                                                                                                              Dynamic List Display                                                                                                                      1


	Order	Activity	Work cntr.	Operation short text	Op. Qty	Actl Start	Act. start	Act.finish	Act.finish	              Move time	             Queue time	Sys.Status	Duration	                  Setup	User field	User field	              Wait time
	160103421	0071	HNT11000	Rework: BURN-IN TEST	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	    0.0	                  0.000			                  0.000
	160103421	0072	CMA13000	Rework: Test	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	    0.0	                  0.000			                  0.000
	160103421	0075	CMA12000	HUMS MECH ASSEMBLY	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   52.2	                  3.000			                  0.000
	160103421	0078	PSA34000	Painting	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	    0.0	                  0.000			                480.000
	160103421	0080	CMA13000	HUMS TESTING	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	  205.2	                  9.000			                  0.000
	160103421	0100	CMQ13000	HUMS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	  134.4	                  6.000			                  0.000
	160103421	9999	ZPD9LAST	LAST OPERATION	     1		00:00:00		00:00:00	                  0.000	                  0.000	PRT  REL	    0.0	                  0.000			                  0.000
	160435043	0010	CMA11000	HUMS ELECTRICAL	     1	11/04/2016	10:42:55	11/05/2016	06:06:55	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	8130558	11/05/2016	                  0.000
	160435043	0015	CMQ13000	HUMS INPROCESS INSPECT	     1	11/05/2016	06:16:21	11/05/2016	06:56:38	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	ACC-866	11/05/2016	                  0.000
	160435043	0025	CMA13000	Pre-Test: SLT	     1	11/07/2016	13:07:27	11/07/2016	13:07:27	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-712	11/08/2016	                  0.000
	160435043	0026	CMA13000	REWORK HUMS TEST T/S	     1	11/17/2016	13:02:43	02/05/2017	08:51:27	                  0.000	                  4.000	PCNF PRT  REL	    0.0	                  0.000	FCT-714	02/05/2017	                  0.000
	160435043	0040	HNT11000	BURN-IN TEST	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	   10.0	               1270.000	ESS-117	02/06/2017	                  0.000
	160435043	0060	CMA13000	HUMS TEST	     1		00:00:00		00:00:00	                  0.000	                  4.000	PRT  REL	   25.0	                 80.000	FCT-714	02/10/2017	                  0.000
	160435043	0065	PSA34000	PAINT	     1		00:00:00		00:00:00	                  0.000	                  8.000	PRT  REL	   60.0	                 15.000	0009103	02/13/2017	                  0.000
	160435043	0070	CMA12000	HUMS FINAL MECH ASSY	     1	02/14/2017	10:41:24	02/14/2017	10:41:24	                  0.000	                  4.000	PCNF PRT  REL	   10.0	                  3.000	0058969	02/14/2017	                  0.000
	160435043	0075	CMA13000	BONDING TESTS	     1	02/14/2017	13:06:39	02/14/2017	13:06:39	                  0.000	                  4.000	PCNF PRT  REL	   10.0	                  0.000			                  0.000
	160435043	0080	CMQ13000	HUMS FINAL INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	   35.0	                  3.000			                  0.000
	160435043	9999	ZPD9LAST	LAST OPERATION	     1		00:00:00		00:00:00	                  0.000	                  0.000	PRT  REL	    0.0	                  0.000			                  0.000
	160454742	0005	KIT02000	KITTING	     1		00:00:00		00:00:00	                  0.000	                 16.000	PRT  REL	   20.0	                  5.000	0008934	11/09/2016	                  0.000
	160454742	0100	CMA12000	HUMS MECHANICAL	     1	11/10/2016	07:17:16	11/10/2016	07:17:16	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-714	11/10/2016	                  0.000
	160454742	0150	CMQ13000	IN-PROCESS INSPECTION	     1	11/10/2016	07:17:16	11/10/2016	07:17:16	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-714	11/10/2016	                  0.000
	160454742	0200	CMA13000	HUMS TESTING	     1	11/10/2016	08:03:32	11/10/2016	08:46:56	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0046212	11/10/2016	                  0.000
	160454742	0300	HNT11000	BURN-IN - See Long Text.	     1	11/16/2016	13:07:29	11/16/2016	13:07:29	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	ESS-102	11/16/2016	                  0.000
	160454742	0301	CMA13000	Troubleshoot	     1	12/21/2016	14:12:11	12/21/2016	14:12:11	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0046212	12/21/2016	                  0.000
	160454742	0302	CMA12000	Rework	     1	12/22/2016	05:22:06	12/22/2016	11:01:54	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP -271 	12/22/2016	                  0.000
	160454742	0305	CMQ13000	IN-PROCESS INSPECTION	     1		00:00:00		00:00:00	                  0.000	                  0.960	PRT  REL	    0.0	                  0.000	QOP -271 	12/22/2016	                  0.000
	160454742	0310	CMA12000	Rework-Mech Assembly	     1	12/22/2016	19:41:30	12/22/2016	19:41:30	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0046212	12/22/2016	                  0.000
	160454742	0312	CMQ13000	IN-PROCESS INSPECTION	     1	12/26/2016	05:31:17	12/26/2016	05:31:17	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	ACC -541	12/26/2016	                  0.000
	160454742	0314	HNT11000	Rework-ESS	     1	12/27/2016	12:31:35	12/28/2016	12:51:34	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	DIS-49	12/28/2016	                  0.000
	160454742	0316	CMA13000	Rework-Mech Assembly	     1	12/29/2016	19:02:30	05/19/2017	10:21:24	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	QOP-714	05/19/2017	                  0.000
	160454742	0318	CMA13000	Troubleshoot	     1	06/07/2017	09:36:30	06/14/2017	12:46:23	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0046212	06/14/2017	                  0.000
	160454742	0320	CMA12000	Bead Blast	     1	06/14/2017	12:56:15	06/14/2017	12:56:15	                  0.000	                  0.000	PCNF PRT  REL	    0.0	                  0.000	0046212	06/14/2017	                  0.000
