07/25/2017                                                                    Dynamic List Display                                                                           1

07/25/2017			                                                            Serial Numbers Assigned to Deliveries											  1

Serial Numbers Assigned to Deliveries

	DlvTy	Material		Delivery quantity	SU	Plnt	SLoc	Batch	Serial number	Ac.GI date	TRKID#	Forwarding agent tracking ID	Material Description
	ZLF	30277-1101		               1	EA	2475	RNN1	0008987041	00491	05/23/2017	725539658708		ELECTRONIC CONTROL UNIT JSF-WBDDS
	ZLF	472854-2		               1	EA	2475	SHP5	0016868671	5293	05/25/2017	725539661851		CONTROL UNIT   GD F-16 A B C D
	ZLF	30321-0101		               1	EA	2475	SHP5	0017090669	01620	05/22/2017	725539657219		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0015952792	01533	05/22/2017	725539657219		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0015767866	01513	05/22/2017	725539657219		MODULE REMOTE SENSOR INTERFACE
	ZLF	30321-0101		               1	EA	2475	SHP5	0015358185	01493	05/22/2017	725539657219		MODULE REMOTE SENSOR INTERFACE
	NL	30190-1410-0301		               1	EA	2475	SHP5	0017049899	1093	05/22/2017			POWER SUPPLY AY
	ZLF	30305-0101		               1	EA	2475	SHP5	0017015519	0852	05/30/2017	725539664210		CONTROLLER TEMP ENGINE NOSE GEARBOX
	ZLF	30279-0301		               1	EA	2475	SHP5	0016965898	B942-01640	05/27/2017	725539663773		VEHICLE HEALTH MANAGEMENT UNIT
	NL	30190-1410-0301		               1	EA	2475	SHP5	0016966796	1091	05/26/2017			POWER SUPPLY AY
	NL	30190-1410-0301		               1	EA	2475	SHP5	0017001833	1092	05/26/2017			POWER SUPPLY AY
	NL	30190-1410-0301		               1	EA	2475	SHP5	0017087478	1094	05/26/2017			POWER SUPPLY AY
	ZLF	30305-0101		               1	EA	2475	SHP5	0017088445	0857	05/26/2017	725539662550		CONTROLLER TEMP ENGINE NOSE GEARBOX
